image,alpha_1,alpha_2,beta,rho
soccer_seam_0.50.bmp,0.78607,0.87366,0.34339,0.5
surfer_crop_0.50.bmp,0.92474,0.99577,0.80921,0.5
tiger_ener_0.75.png,0.8953,0.90979,0.36275,0.75
venice_seam_0.50.bmp,0.92243,0.9325,0.7373,0.5
volleyball_mult_0.75.png,0.95238,0.94625,0.57975,0.75
ArtRoom_scal_0.50.bmp,0.83235,0.835,0.06169,0.5
Lotus_scst_0.50.png,0.95831,0.95739,0.50378,0.5
Perissa_Santorini_mult_0.50.png,0.88323,0.91177,0.10617,0.5
Sanfrancisco_seam_0.50.bmp,0.7797,0.81404,0.1735,0.5
Umdan_scst_0.50.png,0.8699,0.91781,0.3699,0.5
bicycle1_seam_0.50.bmp,0.90142,0.93278,0.41709,0.5
blueman_scal_0.50.bmp,0.80612,0.82532,0.075047,0.5
buddha_seam_0.50.bmp,0.91035,0.92686,0.67213,0.5
butterfly_shif_0.50.png,0.95149,0.97791,0.63596,0.5
car1_shif_0.50.bmp,0.88922,0.98889,0.71506,0.5
car_seam_0.50.bmp,0.88946,0.89455,0.46743,0.5
child_seam_0.50.bmp,0.96096,0.96385,0.65896,0.5
colosseum_seam_0.50.bmp,0.75102,0.81395,0.19497,0.5
eagle_seam_0.75.bmp,0.92698,0.9566,0.78278,0.75
face_scst_0.75.png,0.95449,0.92576,0.57988,0.75
fish_scal_0.50.png,0.82463,0.80797,0.12586,0.5
fishing_mult_0.50.png,0.80325,0.88794,0.18699,0.5
getty_stvi_0.75.png,0.91676,0.94863,0.43496,0.75
girls_stvi_0.75.png,0.85429,0.90829,0.4251,0.75
jon_seam_0.50.png,0.89397,0.9059,0.31062,0.5
kids_seam_0.50.bmp,0.75852,0.81147,0.12566,0.5
kodim02_seam_0.50.bmp,0.95532,0.94834,0.56502,0.5
kodim15_seam_0.75.bmp,0.9854,0.97222,0.88614,0.75
mnm_seam_0.50.bmp,0.839,0.89614,0.16,0.5
obama_mult_0.75.png,0.95428,0.95562,0.56542,0.75
pencils_stvi_0.75.png,0.96905,0.96886,0.65401,0.75
penguins_scst_0.75.png,0.94906,0.93346,0.52468,0.75
pigeons_mult_0.50.png,0.79888,0.79972,0.027926,0.5
ski_mult_0.50.png,0.79626,0.8505,0.19355,0.5
soccer_seam_0.75.bmp,0.92026,0.95134,0.68553,0.75
surfer_seam_0.50.bmp,0.88868,0.92553,0.29525,0.5
tiger_seam_0.50.bmp,0.76441,0.75518,0.35434,0.5
venice_shif_0.50.bmp,0.93521,0.99538,0.83305,0.5
volleyball_seam_0.50.bmp,0.82347,0.81489,0.45302,0.5
ArtRoom_seam_0.50.bmp,0.85075,0.8601,0.17924,0.5
Lotus_warp_0.50.png,0.91697,0.96502,0.55908,0.5
Perissa_Santorini_shif_0.50.png,0.84022,0.96256,0.54503,0.5
Sanfrancisco_warp_0.50.bmp,0.79193,0.8597,0.097601,0.5
Umdan_seam_0.50.png,0.87825,0.8444,0.29764,0.5
bicycle1_shif_0.50.bmp,0.92821,0.98919,0.73569,0.5
blueman_seam_0.50.bmp,0.89032,0.8763,0.41756,0.5
buddha_seam_0.75.png,0.94465,0.93766,0.81443,0.75
butterfly_warp_0.50.png,0.91684,0.95559,0.35739,0.5
car1_warp_0.50.bmp,0.78487,0.90347,0.26054,0.5
car_warp_0.50.bmp,0.93334,0.93946,0.19293,0.5
child_warp_0.50.bmp,0.96469,0.97622,0.57056,0.5
colosseum_shif_0.50.bmp,0.90894,0.99035,0.84824,0.5
eagle_warp_0.50.bmp,0.84212,0.84855,0.23093,0.5
face_seam_0.50.bmp,0.89911,0.88478,0.40476,0.5
fish_shif_0.50.png,0.88918,0.91457,0.38974,0.5
fishing_warp_0.50.png,0.84236,0.89839,0.16921,0.5
getty_warp_0.50.bmp,0.77214,0.84039,0.11468,0.5
girls_warp_0.50.bmp,0.72997,0.71051,0.15532,0.5
jon_stvi_0.50.png,0.90269,0.94869,0.25381,0.5
kids_warp_0.50.bmp,0.78596,0.86015,0.043561,0.5
kodim02_shif_0.50.bmp,0.97481,0.98356,0.82243,0.5
kodim15_shif_0.75.bmp,0.94946,0.98678,0.76331,0.75
mnm_stvi_0.75.png,0.91773,0.94258,0.44091,0.75
obama_warp_0.50.bmp,0.79673,0.84439,0.21472,0.5
pencils_warp_0.50.bmp,0.76157,0.815,0.14863,0.5
penguins_seam_0.75.bmp,0.94812,0.95315,0.64494,0.75
pigeons_warp_0.50.png,0.7864,0.8072,0.15682,0.5
ski_warp_0.50.png,0.73917,0.80123,0.15067,0.5
soccer_warp_0.50.bmp,0.77702,0.8771,0.15166,0.5
surfer_warp_0.50.bmp,0.89265,0.92221,0.26293,0.5
tiger_stvi_0.75.png,0.9411,0.91604,0.46138,0.75
venice_warp_0.75.png,0.93134,0.97074,0.69513,0.75
volleyball_warp_0.50.bmp,0.83911,0.84168,0.33464,0.5
