image,alpha_1,alpha_2,beta,rho
kodim20_shif_0.50.bmp,0.8179,0.98983,0.76246,0.5
kodim21_scsc_0.75.png,0.86563,0.89705,0.49575,0.75
kodim22_seam_0.75.bmp,0.84467,0.87288,0.47564,0.75
kodim23_scsc_0.75.png,0.95583,0.96467,0.62192,0.75
kodim24_seam_0.75.bmp,0.83304,0.86746,0.55948,0.75
monarch_scst_0.50.bmp,0.86986,0.92647,0.29954,0.5
kodim01_scst_0.50.bmp,0.8359,0.86391,0.15912,0.5
kodim03_seam_0.75.bmp,0.93644,0.93842,0.68617,0.75
kodim04_seam_0.50.bmp,0.63456,0.81146,0.31579,0.5
kodim05_warp_0.75.bmp,0.90416,0.92635,0.37832,0.75
kodim06_shif_0.50.bmp,0.88568,0.98524,0.83748,0.5
kodim07_seam_0.75.bmp,0.91987,0.93917,0.77361,0.75
kodim08_seam_0.75.bmp,0.8854,0.88245,0.56759,0.75
kodim09_seam_0.75.bmp,0.95254,0.96048,0.90952,0.75
kodim10_seam_0.50.bmp,0.77005,0.8462,0.64698,0.5
kodim11_seam_0.50.bmp,0.79004,0.88833,0.51736,0.5
kodim12_scst_0.50.bmp,0.91632,0.94833,0.43005,0.5
kodim13_seam_0.50.bmp,0.83699,0.88212,0.1044,0.5
kodim14_scst_0.50.bmp,0.8215,0.87461,0.23056,0.5
kodim16_scst_0.50.bmp,0.81311,0.84804,0.25743,0.5
kodim17_warp_0.75.bmp,0.94648,0.94076,0.56971,0.75
kodim18_scst_0.50.bmp,0.823,0.9181,0.31442,0.5
kodim19_scst_0.50.bmp,0.8885,0.96018,0.51633,0.5
kodim20_warp_0.75.bmp,0.94225,0.9627,0.47876,0.75
kodim21_scst_0.50.bmp,0.88237,0.9117,0.24961,0.5
kodim22_warp_0.50.bmp,0.62751,0.79791,0.099808,0.5
kodim23_scst_0.50.bmp,0.89413,0.96398,0.32312,0.5
kodim24_shif_0.75.bmp,0.8868,0.99195,0.84733,0.75
monarch_seam_0.50.bmp,0.71775,0.7896,0.18904,0.5
ArtRoom_crop_0.50.bmp,0.79567,0.99446,0.81615,0.5
Lotus_scal_0.50.png,0.77711,0.84826,0.17831,0.5
Perissa_Santorini_crop_0.50.png,0.56403,1,0.67156,0.5
Sanfrancisco_crop_0.50.bmp,0.58405,0.99656,0.59281,0.5
Umdan_ener_0.50.png,0.80123,0.87894,0.24023,0.5
bicycle1_scal_0.75.bmp,0.85337,0.90707,0.34518,0.75
blueman_crop_0.50.bmp,0.67561,0.9963,0.65199,0.5
buddha_mult_0.75.png,0.92225,0.94451,0.40922,0.75
butterfly_scal_0.50.png,0.7412,0.79996,0.027027,0.5
car1_seam_0.50.bmp,0.75849,0.84969,0.21673,0.5
car_crop_0.50.bmp,0.72839,0.98657,0.72093,0.5
child_scal_0.50.bmp,0.62528,0.753,0.066667,0.5
colosseum_crop_0.50.bmp,0.79228,0.98714,0.64935,0.5
eagle_scal_0.50.bmp,0.80187,0.83106,0.09417,0.5
face_ener_0.75.png,0.92925,0.95688,0.62069,0.75
fish_mult_0.50.png,0.85391,0.88416,0.162,0.5
fishing_ener_0.50.png,0.82656,0.87633,0.13353,0.5
getty_seam_0.75.bmp,0.92429,0.92039,0.68116,0.75
girls_seam_0.50.bmp,0.84676,0.8791,0.20731,0.5
jon_ener_0.50.png,0.74256,0.85341,0.16399,0.5
kids_crop_0.75.png,0.84016,0.99793,0.8222,0.75
kodim02_scsc_0.50.png,0.79463,0.84156,0.14054,0.5
kodim15_scsc_0.50.png,0.89044,0.89523,0.43094,0.5
mnm_scst_0.75.png,0.95423,0.96755,0.46967,0.75
obama_ener_0.75.png,0.91647,0.93641,0.44045,0.75
pencils_seam_0.50.bmp,0.84405,0.87659,0.4078,0.5
penguins_scal_0.50.bmp,0.7686,0.84714,0.12837,0.5
pigeons_ener_0.50.png,0.58003,0.74629,0.061941,0.5
ski_ener_0.50.png,0.80568,0.7855,0.18095,0.5
soccer_seam_0.50.bmp,0.84658,0.90697,0.34339,0.5
surfer_crop_0.50.bmp,0.82431,0.99494,0.80921,0.5
tiger_ener_0.75.png,0.8824,0.90054,0.36275,0.75
venice_seam_0.50.bmp,0.87588,0.92527,0.7373,0.5
volleyball_mult_0.75.png,0.95546,0.97293,0.57975,0.75
ArtRoom_scal_0.50.bmp,0.74783,0.78989,0.06169,0.5
Lotus_scst_0.50.png,0.89143,0.92813,0.50378,0.5
Perissa_Santorini_mult_0.50.png,0.84897,0.89745,0.10617,0.5
Sanfrancisco_seam_0.50.bmp,0.75385,0.80901,0.1735,0.5
Umdan_scst_0.50.png,0.85726,0.90873,0.3699,0.5
bicycle1_seam_0.50.bmp,0.88979,0.93726,0.41709,0.5
blueman_scal_0.50.bmp,0.64476,0.76327,0.075047,0.5
buddha_seam_0.50.bmp,0.78033,0.90768,0.67213,0.5
butterfly_shif_0.50.png,0.79623,0.95182,0.63596,0.5
car1_shif_0.50.bmp,0.84335,0.98833,0.71506,0.5
car_seam_0.50.bmp,0.77362,0.84976,0.46743,0.5
child_seam_0.50.bmp,0.88364,0.93754,0.65896,0.5
colosseum_seam_0.50.bmp,0.775,0.83628,0.19497,0.5
eagle_seam_0.75.bmp,0.90037,0.9551,0.78278,0.75
face_scst_0.75.png,0.94819,0.9499,0.57988,0.75
fish_scal_0.50.png,0.81035,0.86461,0.12586,0.5
fishing_mult_0.50.png,0.75953,0.88143,0.18699,0.5
getty_stvi_0.75.png,0.92512,0.94892,0.43496,0.75
girls_stvi_0.75.png,0.87555,0.92172,0.4251,0.75
jon_seam_0.50.png,0.88919,0.8961,0.31062,0.5
kids_seam_0.50.bmp,0.78723,0.83372,0.12566,0.5
kodim02_seam_0.50.bmp,0.86057,0.91787,0.56502,0.5
kodim15_seam_0.75.bmp,0.95964,0.94071,0.88614,0.75
mnm_seam_0.50.bmp,0.88499,0.92643,0.16,0.5
obama_mult_0.75.png,0.94032,0.95471,0.56542,0.75
pencils_stvi_0.75.png,0.9624,0.97405,0.65401,0.75
penguins_scst_0.75.png,0.94307,0.92986,0.52468,0.75
pigeons_mult_0.50.png,0.7438,0.75639,0.027926,0.5
ski_mult_0.50.png,0.82197,0.8937,0.19355,0.5
soccer_seam_0.75.bmp,0.94263,0.96568,0.68553,0.75
surfer_seam_0.50.bmp,0.80566,0.88824,0.29525,0.5
tiger_seam_0.50.bmp,0.77378,0.79709,0.35434,0.5
venice_shif_0.50.bmp,0.89325,0.99586,0.83305,0.5
volleyball_seam_0.50.bmp,0.77827,0.80446,0.45302,0.5
ArtRoom_seam_0.50.bmp,0.82629,0.87608,0.17924,0.5
Lotus_warp_0.50.png,0.75324,0.91777,0.55908,0.5
Perissa_Santorini_shif_0.50.png,0.71796,0.96159,0.54503,0.5
Sanfrancisco_warp_0.50.bmp,0.76891,0.83406,0.097601,0.5
Umdan_seam_0.50.png,0.85793,0.86775,0.29764,0.5
bicycle1_shif_0.50.bmp,0.87673,0.98921,0.73569,0.5
blueman_seam_0.50.bmp,0.82115,0.86993,0.41756,0.5
buddha_seam_0.75.png,0.85904,0.88327,0.81443,0.75
butterfly_warp_0.50.png,0.69178,0.87218,0.35739,0.5
car1_warp_0.50.bmp,0.7851,0.91608,0.26054,0.5
car_warp_0.50.bmp,0.83684,0.8922,0.19293,0.5
child_warp_0.50.bmp,0.89248,0.95869,0.57056,0.5
colosseum_shif_0.50.bmp,0.88753,0.99254,0.84824,0.5
eagle_warp_0.50.bmp,0.82641,0.90282,0.23093,0.5
face_seam_0.50.bmp,0.88382,0.89704,0.40476,0.5
fish_shif_0.50.png,0.83641,0.94149,0.38974,0.5
fishing_warp_0.50.png,0.81934,0.88826,0.16921,0.5
getty_warp_0.50.bmp,0.78799,0.88966,0.11468,0.5
girls_warp_0.50.bmp,0.70115,0.74556,0.15532,0.5
jon_stvi_0.50.png,0.87839,0.94273,0.25381,0.5
kids_warp_0.50.bmp,0.83327,0.87075,0.043561,0.5
kodim02_shif_0.50.bmp,0.92385,0.97105,0.82243,0.5
kodim15_shif_0.75.bmp,0.83445,0.97749,0.76331,0.75
mnm_stvi_0.75.png,0.94709,0.95448,0.44091,0.75
obama_warp_0.50.bmp,0.6798,0.81172,0.21472,0.5
pencils_warp_0.50.bmp,0.74466,0.81681,0.14863,0.5
penguins_seam_0.75.bmp,0.94593,0.95332,0.64494,0.75
pigeons_warp_0.50.png,0.72379,0.81898,0.15682,0.5
ski_warp_0.50.png,0.73691,0.82202,0.15067,0.5
soccer_warp_0.50.bmp,0.82765,0.91533,0.15166,0.5
surfer_warp_0.50.bmp,0.77852,0.87223,0.26293,0.5
tiger_stvi_0.75.png,0.92949,0.94032,0.46138,0.75
venice_warp_0.75.png,0.93366,0.97822,0.69513,0.75
volleyball_warp_0.50.bmp,0.7845,0.85367,0.33464,0.5
